#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.010237220735e-05      -1.314562994514e-03      -9.864446362480e-04      -9.864446723966e-04      -1.314552308318e-03      -9.865493294720e-04       4.626431344844e-01       4.624876898120e-01 
       1.271813309124e-05      -2.082794642420e-03      -1.563407980881e-03      -1.563408071677e-03      -2.082767806901e-03      -1.563573732017e-03       4.626425782633e-01       4.624872032832e-01 
       1.601118093914e-05      -3.299382079412e-03      -2.477831410273e-03      -2.477831638327e-03      -3.299314699285e-03      -2.478093665134e-03       4.626417490881e-01       4.624864845002e-01 
       2.015688255712e-05      -5.225087882490e-03      -3.927089249173e-03      -3.927089821946e-03      -5.224918741631e-03      -3.927503783031e-03       4.626403517914e-01       4.624852620695e-01 
       2.537601167371e-05      -8.270967382851e-03      -6.223995464798e-03      -6.223996903286e-03      -8.270542953437e-03      -6.224649666250e-03       4.626381945765e-01       4.624833816893e-01 
       3.194650594602e-05      -1.308291752237e-02      -9.864313078279e-03      -9.864316690548e-03      -1.308185313190e-02      -9.865342919862e-03       4.626347380525e-01       4.624803631614e-01 
       4.021826815348e-05      -2.067066512096e-02      -1.563374484761e-02      -1.563375391700e-02      -2.066799838312e-02      -1.563535950449e-02       4.626292705394e-01       4.624755879332e-01 
       5.063179979677e-05      -3.259971530497e-02      -2.477746695066e-02      -2.477748971592e-02      -3.259304409277e-02      -2.477998215297e-02       4.626205620978e-01       4.624679721067e-01 
       6.374165940903e-05      -5.126480257736e-02      -3.926876761775e-02      -3.926882473295e-02      -5.124815351937e-02      -3.927264450018e-02       4.626068391117e-01       4.624559688173e-01 
       8.024599481995e-05      -8.024807784543e-02      -6.223461696682e-02      -6.223476017052e-02      -8.020668519261e-02      -6.224048935039e-02       4.625851544565e-01       4.624369802903e-01 
       1.010237220735e-04      -1.247064062127e-01      -9.862974209297e-02      -9.863010075967e-02      -1.246041158153e-01      -9.863837702186e-02       4.625509526216e-01       4.624069784162e-01 
       1.271813309124e-04      -1.915644800680e-01      -1.563038886527e-01      -1.563047854452e-01      -1.913141190166e-01      -1.563159295501e-01       4.624971578133e-01       4.623596597581e-01 
       1.601118093914e-04      -2.888873003445e-01      -2.476906851346e-01      -2.476929214397e-01      -2.882838693356e-01      -2.477058076863e-01       4.624129166168e-01       4.622852426582e-01 
       2.015688255712e-04      -4.229934797364e-01      -3.924778486444e-01      -3.924834018581e-01      -4.215744604321e-01      -3.924925141572e-01       4.622818825775e-01       4.621687241081e-01 
       2.537601167371e-04      -5.907107310077e-01      -6.218235294513e-01      -6.218372287125e-01      -5.875040281435e-01      -6.218258099222e-01       4.620801284761e-01       4.619875165243e-01 
       3.194650594602e-04      -7.642071548972e-01      -9.850016642808e-01      -9.850351140167e-01      -7.574178527496e-01      -9.849611725594e-01       4.617741170891e-01       4.617085888878e-01 
       4.021826815348e-04      -8.733730484283e-01      -1.559848671961e+00      -1.559929068350e+00      -8.604847170657e-01      -1.559702102483e+00       4.613196239822e-01       4.612856794976e-01 
       5.063179979677e-04      -8.186530897687e-01      -2.469131229198e+00      -2.469319895857e+00      -7.984441791492e-01      -2.468775976318e+00       4.606623935243e-01       4.606577949023e-01 
       6.374165940903e-04      -5.837048139165e-01      -3.906088127447e+00      -3.906515533033e+00      -5.618520669887e-01      -3.905419346504e+00       4.597381999020e-01       4.597498385008e-01 
       8.024599481995e-04      -3.984330567899e-01      -6.174097663837e+00      -6.175018678112e+00      -3.902443263493e-01      -6.173102957034e+00       4.584624296473e-01       4.584717063898e-01 
       1.010237220735e-03      -4.416527678916e-01      -9.747876547935e+00      -9.749732891460e+00      -4.496934137352e-01      -9.746619640244e+00       4.567017342058e-01       4.567034339982e-01 
       1.271813309124e-03      -2.835357057693e-01      -1.536692130736e+01      -1.537036733365e+01      -2.788870747840e-01      -1.536528475905e+01       4.542628527594e-01       4.542658603736e-01 
       1.601118093914e-03      -2.243917800386e-01      -2.417620296258e+01      -2.418206559226e+01      -2.148143310550e-01      -2.417396370121e+01       4.509264889995e-01       4.509277092807e-01 
       2.015688255712e-03      -6.286706228663e-02      -3.793453219170e+01      -3.794393690976e+01      -6.672957261432e-02      -3.793111839238e+01       4.464252453676e-01       4.464265669133e-01 
       2.537601167371e-03      -4.347561412140e-02      -5.931611744332e+01      -5.933159487962e+01      -2.981982231193e-02      -5.931147057922e+01       4.404420304128e-01       4.404426241878e-01 
       3.194650594602e-03       1.686118819480e-02      -9.233749969729e+01      -9.236524083523e+01      -3.123211078867e-03      -9.233360513859e+01       4.326213416751e-01       4.326218344632e-01 
       4.021826815348e-03       8.813351284778e-02      -1.429426375064e+02      -1.429938403106e+02      -2.390324152719e-01      -1.429442368105e+02       4.225845480025e-01       4.225848703092e-01 
       5.063179979677e-03       2.650734637577e-01      -2.197549225137e+02      -2.198528187035e+02       2.668357002998e-01      -2.197749459905e+02       4.099440463340e-01       4.099440463340e-01 
       6.374165940903e-03       2.550247234481e-01      -3.349771818184e+02      -3.351739972672e+02       2.567198728003e-01      -3.350516026820e+02       3.943279757832e-01       3.943279757832e-01 
       8.024599481995e-03       2.428027426437e-01      -5.053405818230e+02      -5.057506180869e+02       2.444166050328e-01      -5.055571329712e+02       3.754186200824e-01       3.754186200824e-01 
       1.010237220735e-02       2.282822875788e-01      -7.527178179148e+02      -7.535933364661e+02       2.297995361084e-01      -7.532843757729e+02       3.529427966069e-01       3.529427966069e-01 
       1.271813309124e-02       2.112662776020e-01      -1.103823517863e+03      -1.105708319143e+03       2.126707727177e-01      -1.105208070200e+03       3.267302023997e-01       3.267302023997e-01 
       1.601118093906e-02       1.918859624080e-01      -1.587628282109e+03      -1.591641207619e+03       1.931615091982e-01      -1.590819435478e+03       2.967331325854e-01       2.967331325854e-01 
       2.015688217816e-02       1.702373863385e-01      -2.229950753225e+03      -2.238181282493e+03       1.713690035757e-01      -2.236823253021e+03       2.632550961256e-01       2.632550961256e-01 
       2.537578023866e-02       1.469512651470e-01      -3.046943550159e+03      -3.062628781092e+03       1.479281488303e-01      -3.060424438549e+03       2.272660964798e-01       2.272660964798e-01 
       3.191973335358e-02       1.235016458196e-01      -4.046882073425e+03      -4.073138868175e+03       1.243226481580e-01      -4.069784963710e+03       1.910049987780e-01       1.910049987780e-01 
       3.946217182828e-02       1.034017032150e-01      -5.177169856057e+03      -5.212285227589e+03       1.040890763293e-01      -5.207874772599e+03       1.599154166045e-01       1.599154166045e-01 
       4.554288150601e-02       9.144865228893e-02      -6.103378980427e+03      -6.140308442836e+03       9.205664653468e-02      -6.135460020480e+03       1.414483488606e-01       1.414483488606e-01 
       5.001103555412e-02       8.444289906588e-02      -6.799541247937e+03      -6.835043168350e+03       8.500421614622e-02      -6.830084853314e+03       1.305828561009e-01       1.305828561009e-01 
       5.374054962037e-02       7.938406143700e-02      -7.384965562266e+03      -7.418433909762e+03       7.991170658468e-02      -7.413448640230e+03       1.227461368105e-01       1.227461368105e-01 
