#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_tot                  7:phi                    8:psi                
       1.041781934365e-05      -1.316827972718e-03      -9.881346645354e-04      -9.881346976051e-04      -1.316807187357e-03      -9.882316740938e-04       4.710674824790e-01       4.709217774570e-01 
       1.311525750721e-05      -2.086394848180e-03      -1.566086272962e-03      -1.566086356026e-03      -2.086342650535e-03      -1.566239858799e-03       4.710668642418e-01       4.709212239276e-01 
       1.651113095805e-05      -3.305115361011e-03      -2.482076476724e-03      -2.482076685358e-03      -3.304984298153e-03      -2.482319482317e-03       4.710660929555e-01       4.709205550588e-01 
       2.078628234055e-05      -5.234243228939e-03      -3.933817955346e-03      -3.933818479338e-03      -5.233914225319e-03      -3.934202060068e-03       4.710647952639e-01       4.709194195783e-01 
       2.616837905524e-05      -8.285649058624e-03      -6.234660901912e-03      -6.234662217901e-03      -8.284823454781e-03      -6.235267074308e-03       4.710627457994e-01       4.709176269713e-01 
       3.294403737811e-05      -1.310661729138e-02      -9.881220558039e-03      -9.881223862702e-03      -1.310454673159e-02      -9.882174774821e-03       4.710595067359e-01       4.709147942892e-01 
       4.147408582240e-05      -2.070930485264e-02      -1.566055120947e-02      -1.566055950659e-02      -2.070411685719e-02      -1.566204725134e-02       4.710543841788e-01       4.709103140402e-01 
       5.221278057275e-05      -3.266365028020e-02      -2.481997962390e-02      -2.482000045022e-02      -3.265067026597e-02      -2.482230993816e-02       4.710462742084e-01       4.709032177154e-01 
       6.573199628346e-05      -5.137283032767e-02      -3.933621022670e-02      -3.933626247905e-02      -5.134043119838e-02      -3.933980181723e-02       4.710334464729e-01       4.708919855848e-01 
       8.275168048921e-05      -8.043585397721e-02      -6.234166884972e-02      -6.234179986266e-02      -8.035528065079e-02      -6.234710825670e-02       4.710131796263e-01       4.708742204743e-01 
       1.041781934365e-04      -1.250445904346e-01      -9.879981591216e-02      -9.880014405257e-02      -1.248453869878e-01      -9.880781181860e-02       4.709812139913e-01       4.708461523967e-01 
       1.311525750721e-04      -1.921983892500e-01      -1.565744585109e-01      -1.565752789958e-01      -1.917104835892e-01      -1.565856013488e-01       4.709309281402e-01       4.708018774734e-01 
       1.651113095805e-04      -2.901225422535e-01      -2.481220581110e-01      -2.481241042275e-01      -2.889452381907e-01      -2.481360307122e-01       4.708521604027e-01       4.707322307451e-01 
       2.078628234055e-04      -4.254722346338e-01      -3.931678673455e-01      -3.931729486925e-01      -4.226986785095e-01      -3.931813408287e-01       4.707295872234e-01       4.706231406196e-01 
       2.616837905524e-04      -5.957358338094e-01      -6.229328184732e-01      -6.229453551345e-01      -5.894499481007e-01      -6.229345860111e-01       4.705407378091e-01       4.704533915842e-01 
       3.294403737811e-04      -7.741919419186e-01      -9.867982457393e-01      -9.868288624306e-01      -7.608207913592e-01      -9.867596674644e-01       4.702540110181e-01       4.701918776376e-01 
       4.147408582240e-04      -8.919573379223e-01      -1.562789300819e+00      -1.562862907592e+00      -8.663791571857e-01      -1.562650225553e+00       4.698275170484e-01       4.697948636636e-01 
       5.221278057275e-04      -8.488415268307e-01      -2.474013771560e+00      -2.474186573925e+00      -8.082136067566e-01      -2.473674774528e+00       4.692094457628e-01       4.692043435599e-01 
       6.573199628346e-04      -6.216336301805e-01      -3.914342351731e+00      -3.914734026549e+00      -5.766606372608e-01      -3.913695007166e+00       4.683378927562e-01       4.683483293617e-01 
       8.275168048921e-04      -4.282088113875e-01      -6.188344873105e+00      -6.189189415425e+00      -4.102125539476e-01      -6.187353871156e+00       4.671312178542e-01       4.671398985063e-01 
       1.041781934365e-03      -4.579385538186e-01      -9.773012427287e+00      -9.774715264441e+00      -4.750268013727e-01      -9.771699067260e+00       4.654620377723e-01       4.654637270909e-01 
       1.311525750721e-03      -3.212453356657e-01      -1.541223192703e+01      -1.541539044642e+01      -3.112226126247e-01      -1.541043613699e+01       4.631462003485e-01       4.631488435948e-01 
       1.651113095805e-03      -2.711269630669e-01      -2.425919476713e+01      -2.426454584485e+01      -2.519337273604e-01      -2.425661792422e+01       4.599657894274e-01       4.599668340256e-01 
       2.078628234055e-03      -1.041375796130e-01      -3.808914394938e+01      -3.809762690512e+01      -1.092189753022e-01      -3.808507584320e+01       4.556650348164e-01       4.556662436641e-01 
       2.616837905524e-03      -9.699696063012e-02      -5.960755577350e+01      -5.962121958565e+01      -7.576077422357e-02      -5.960149329869e+01       4.499302971827e-01       4.499308137490e-01 
       3.294403737811e-03      -3.238412368484e-02      -9.288876868469e+01      -9.291266866993e+01      -4.938521085164e-02      -9.288148642331e+01       4.424003826420e-01       4.424008132771e-01 
       4.147408582240e-03       4.160025815559e-02      -1.439806296326e+02      -1.440235472893e+02      -2.704227644676e-01      -1.439742909761e+02       4.326833627211e-01       4.326836513479e-01 
       5.221278057275e-03       2.045732454869e-01      -2.216844965018e+02      -2.217639569622e+02       2.083712307737e-01      -2.216858982600e+02       4.203613372306e-01       4.203613372306e-01 
       6.573199628346e-03       1.971563218031e-01      -3.384797556606e+02      -3.386351773121e+02       2.008156426526e-01      -3.385106258808e+02       4.050014179717e-01       4.050014179717e-01 
       8.275168048921e-03       1.879985135238e-01      -5.114723277307e+02      -5.117893029003e+02       1.914878827135e-01      -5.115881186422e+02       3.861930002529e-01       3.861930002529e-01 
       1.041781934365e-02       1.769380613037e-01      -7.628555375222e+02      -7.635247276503e+02       1.802224470845e-01      -7.631935777175e+02       3.635117660653e-01       3.635117660653e-01 
       1.311525750721e-02       1.638543867536e-01      -1.118981814972e+03      -1.120422289046e+03       1.668952255449e-01      -1.119863882086e+03       3.365494522664e-01       3.365494522664e-01 
       1.651113095802e-02       1.484390805671e-01      -1.606415271256e+03      -1.609519188864e+03       1.511948299875e-01      -1.608553451352e+03       3.050135086711e-01       3.050135086711e-01 
       2.078628218334e-02       1.308499680229e-01      -2.242577656372e+03      -2.249105961313e+03       1.332792491377e-01      -2.247410051482e+03       2.688845551083e-01       2.688845551083e-01 
       2.616825776982e-02       1.114585071425e-01      -3.023711977788e+03      -3.036680353405e+03       1.135275649853e-01      -3.033733769384e+03       2.290155617241e-01       2.290155617241e-01 
       3.292706627922e-02       9.152086213232e-02      -3.925941449065e+03      -3.949097474539e+03       9.321986200798e-02      -3.944270816490e+03       1.880605831391e-01       1.880605831391e-01 
       4.090375673920e-02       7.425524249112e-02      -4.911392241318e+03      -4.945381974521e+03       7.563372432291e-02      -4.938548341643e+03       1.525843640943e-01       1.525843640943e-01 
       4.765294973420e-02       6.423007869303e-02      -5.766504771590e+03      -5.804974533131e+03       6.542234905053e-02      -5.797178893763e+03       1.319697019497e-01       1.319697019497e-01 
       5.254341840045e-02       5.890440466411e-02      -6.435339262459e+03      -6.473667490737e+03       5.999813026609e-02      -6.465696927548e+03       1.210642188177e-01       1.210642188177e-01 
       5.657242717665e-02       5.540780575106e-02      -7.019032460499e+03      -7.055580220857e+03       5.643627731436e-02      -7.047719485574e+03       1.138350734915e-01       1.138350734915e-01 
       6.016792290166e-02       5.269737314652e-02      -7.555118528832e+03      -7.589470452194e+03       5.367551541180e-02      -7.581799391891e+03       1.082628251704e-01       1.082628251704e-01 
       6.352033509337e-02       5.039215677150e-02      -8.055655492218e+03      -8.088071794114e+03       5.132751783494e-02      -8.080559675959e+03       1.035268464640e-01       1.035268464640e-01 
       6.673031217510e-02       4.828302423466e-02      -8.523316386990e+03      -8.554519986531e+03       4.917946755661e-02      -8.547061990242e+03       9.922192399244e-02       9.922192399244e-02 
       6.985814215864e-02       4.630126727717e-02      -8.956568527282e+03      -8.987618028823e+03       4.716069955128e-02      -8.980056609071e+03       9.512224987830e-02       9.512224987830e-02 
       7.294339566699e-02       4.433832722871e-02      -9.353742265197e+03      -9.385924762299e+03       4.516150895770e-02      -9.378066670504e+03       9.111260516203e-02       9.111260516203e-02 
       7.601394370784e-02       4.240633155425e-02      -9.712515041846e+03      -9.747235249037e+03       4.319352687848e-02      -9.738869289080e+03       8.712827358991e-02       8.712827358991e-02 
       7.909056966767e-02       4.047077686130e-02      -1.003291076188e+04      -1.007156670293e+04       4.122207311089e-02      -1.006248273156e+04       8.315585665697e-02       8.315585665697e-02 
       8.218953031552e-02       3.855901180466e-02      -1.031675001084e+04      -1.036060037115e+04       3.927465529128e-02      -1.035060978111e+04       7.920818092616e-02       7.920818092616e-02 
       8.532407246831e-02       3.666374049466e-02      -1.056936148031e+04      -1.061938541375e+04       3.734428695741e-02      -1.060834230724e+04       7.532540469130e-02       7.532540469130e-02 
       8.850537869602e-02       3.482736507668e-02      -1.079859466424e+04      -1.085536125159e+04       3.547385792019e-02      -1.084318237612e+04       7.155739684566e-02       7.155739684566e-02 
       9.174318230171e-02       3.307770077532e-02      -1.101573024378e+04      -1.107928781429e+04       3.369172201335e-02      -1.106596908332e+04       6.796400316264e-02       6.796400316264e-02 
       9.504618131174e-02       3.144500052713e-02      -1.123448575676e+04      -1.130429061155e+04       3.202866592094e-02      -1.128991767668e+04       6.460386918481e-02       6.460386918481e-02 
       9.842232525029e-02       2.994184936559e-02      -1.146986417082e+04      -1.154477144391e+04       3.049769782101e-02      -1.152952076334e+04       6.152634448992e-02       6.152634448992e-02 
       1.018790185199e-01       2.860193601957e-02      -1.173699520981e+04      -1.181532030138e+04       2.913285636179e-02      -1.179944937064e+04       5.876643362340e-02       5.876643362340e-02 
       1.054232674125e-01       2.741720916709e-02      -1.204851092948e+04      -1.212818534165e+04       2.792616357129e-02      -1.211200874393e+04       5.633526348788e-02       5.633526348788e-02 
       1.090617879741e-01       2.638824600205e-02      -1.241199674345e+04      -1.249080657590e+04       2.687805494356e-02      -1.247465969006e+04       5.421513941267e-02       5.421513941267e-02 
       1.128010860274e-01       2.548351946156e-02      -1.282924256766e+04      -1.290514031720e+04       2.595660857361e-02      -1.288933163431e+04       5.236497908662e-02       5.236497908662e-02 
       1.166475169838e-01       2.468557425118e-02      -1.329328318797e+04      -1.336473882833e+04       2.514378502134e-02      -1.334949691894e+04       5.071670152030e-02       5.071670152030e-02 
       1.206073307330e-01       2.393980112178e-02      -1.378860925784e+04      -1.385494474727e+04       2.438418150127e-02      -1.384036779170e+04       4.918552570404e-02       4.918552570404e-02 
       1.246867053859e-01       2.320820139945e-02      -1.429248284660e+04      -1.435412100392e+04       2.363899791831e-02      -1.434013949964e+04       4.768152913728e-02       4.768152913728e-02 
       1.288917726434e-01       2.245166092669e-02      -1.477655819632e+04      -1.483511355578e+04       2.286834900376e-02      -1.482147757935e+04       4.611882203229e-02       4.611882203229e-02 
       1.332286369047e-01       2.163201058994e-02      -1.521389698410e+04      -1.527203990565e+04       2.203350569864e-02      -1.525834022431e+04       4.443745956793e-02       4.443745956793e-02 
       1.377033897843e-01       2.073891003250e-02      -1.558359987069e+04      -1.564466306897e+04       2.112389071080e-02      -1.563039169015e+04       4.261060459806e-02       4.261060459806e-02 
       1.423221214160e-01       1.978676376034e-02      -1.587740160959e+04      -1.594475233447e+04       2.015405593722e-02      -1.592939823345e+04       4.065291106398e-02       4.065291106398e-02 
       1.470909297261e-01       1.879698219176e-02      -1.610499119518e+04      -1.618126680075e+04       1.914591320952e-02      -1.616443171983e+04       3.862119898918e-02       3.862119898918e-02 
       1.520159287355e-01       1.781493213005e-02      -1.629425502565e+04      -1.638062299480e+04       1.814561437775e-02      -1.636213329653e+04       3.660149538820e-02       3.660149538820e-02 
       1.571032568692e-01       1.688512753079e-02      -1.648830626636e+04      -1.658397506198e+04       1.719855565793e-02      -1.656395472447e+04       3.469211321932e-02       3.469211321932e-02 
       1.623590862011e-01       1.605143677882e-02      -1.673550846894e+04      -1.683769350204e+04       1.634937666104e-02      -1.681656796091e+04       3.297776865964e-02       3.297776865964e-02 
       1.677896335325e-01       1.533423125888e-02      -1.707611113289e+04      -1.718058074939e+04       1.561887603213e-02      -1.715899279986e+04       3.150638951450e-02       3.150638951450e-02 
       1.734011741811e-01       1.473440104065e-02      -1.752791867873e+04      -1.763012122447e+04       1.500790882690e-02      -1.760875910095e+04       3.027344055246e-02       3.027344055246e-02 
       1.792000593464e-01       1.422209262045e-02      -1.807510065834e+04      -1.817156860047e+04       1.448607541026e-02      -1.815095346812e+04       2.921865643758e-02       2.921865643758e-02 
       1.851927379049e-01       1.374816641292e-02      -1.867319495835e+04      -1.876284128433e+04       1.400340183853e-02      -1.874313031914e+04       2.825083682765e-02       2.825083682765e-02 
       1.913857834891e-01       1.326792288707e-02      -1.925167439667e+04      -1.933641963224e+04       1.351423149842e-02      -1.931731438327e+04       2.726242574602e-02       2.726242574602e-02 
       1.977859277028e-01       1.273917195100e-02      -1.973919758676e+04      -1.982354937231e+04       1.297561865367e-02      -1.980436260299e+04       2.617020885076e-02       2.617020885076e-02 
       2.044001003405e-01       1.214568096441e-02      -2.010032073002e+04      -2.018978840962e+04       1.237115111172e-02      -2.016968465735e+04       2.495594360136e-02       2.495594360136e-02 
       2.112354775114e-01       1.151896668231e-02      -2.035405994665e+04      -2.045293037366e+04       1.173281547626e-02      -2.043126222481e+04       2.367001715222e-02       2.367001715222e-02 
       2.182995386254e-01       1.090548804935e-02      -2.056851735206e+04      -2.067788758975e+04       1.110791108890e-02      -2.065449284442e+04       2.240505407435e-02       2.240505407435e-02 
       2.256001332954e-01       1.034415268910e-02      -2.083148172175e+04      -2.094858166810e+04       1.053615749272e-02      -2.092388483725e+04       2.125204435203e-02       2.125204435203e-02 
       2.331455593585e-01       9.862510277574e-03      -2.121396863219e+04      -2.133333091376e+04       1.004558847060e-02      -2.130816284051e+04       2.026416940228e-02       2.026416940228e-02 
       2.409446534322e-01       9.459650018401e-03      -2.173502780977e+04      -2.185122744481e+04       9.635239426841e-03      -2.182640663603e+04       1.943500921344e-02       1.943500921344e-02 
       2.490068957296e-01       9.098539446256e-03      -2.233811542934e+04      -2.244873859201e+04       9.267447261222e-03      -2.242462322860e+04       1.869560410117e-02       1.869560410117e-02 
       2.573425312699e-01       8.737190989104e-03      -2.291644551301e+04      -2.302357849243e+04       8.899391084064e-03      -2.299984538158e+04       1.795307626403e-02       1.795307626403e-02 
       2.659627101861e-01       8.347893069654e-03      -2.338168471019e+04      -2.349072122437e+04       8.502834526586e-03      -2.346654929328e+04       1.714923804593e-02       1.714923804593e-02 
       2.748796505816e-01       7.926752688129e-03      -2.371755534153e+04      -2.383374234955e+04       8.073912460067e-03      -2.380833857702e+04       1.628849676565e-02       1.628849676565e-02 
       2.841068283770e-01       7.511185711875e-03      -2.399707281621e+04      -2.412193083215e+04       7.650603377119e-03      -2.409507097475e+04       1.543128037633e-02       1.543128037633e-02 
       2.936591999038e-01       7.131907414466e-03      -2.434344636042e+04      -2.447373599575e+04       7.264300366075e-03      -2.444591349199e+04       1.465399855149e-02       1.465399855149e-02 
       3.035534647397e-01       6.806127158025e-03      -2.482168320967e+04      -2.495201089538e+04       6.932455823003e-03      -2.492404125545e+04       1.398251097924e-02       1.398251097924e-02 
       3.138083785920e-01       6.512559343234e-03      -2.539241656952e+04      -2.551967626279e+04       6.633458345135e-03      -2.549202423588e+04       1.338173264614e-02       1.338173264614e-02 
       3.244451291485e-01       6.224015384253e-03      -2.594526308094e+04      -2.607120513876e+04       6.339563898140e-03      -2.604359872120e+04       1.278955912804e-02       1.278955912804e-02 
       3.354877920257e-01       5.922727109311e-03      -2.639071443211e+04      -2.652011351605e+04       6.032657024645e-03      -2.649182802177e+04       1.216733821559e-02       1.216733821559e-02 
       3.469638897281e-01       5.615325694164e-03      -2.675900820884e+04      -2.689490917477e+04       5.719552787480e-03      -2.686548502156e+04       1.153621192701e-02       1.153621192701e-02 
       3.589050845714e-01       5.326334850850e-03      -2.715580968523e+04      -2.729658033727e+04       5.425195098128e-03      -2.726626767660e+04       1.094217277451e-02       1.094217277451e-02 
       3.713480478638e-01       5.066969099033e-03      -2.765794127678e+04      -2.779947788070e+04       5.161017416321e-03      -2.776889572354e+04       1.040958498448e-02       1.040958498448e-02 
       3.843355638900e-01       4.825036840831e-03      -2.821437524525e+04      -2.835512554886e+04       4.914593446699e-03      -2.832450377150e+04       9.912387235532e-03       9.912387235532e-03 
       3.979179509348e-01       4.582849045108e-03      -2.872628136697e+04      -2.886890054583e+04       4.667910370109e-03      -2.883783166921e+04       9.414833311019e-03       9.414833311019e-03 
       4.121549167592e-01       4.338751555558e-03      -2.917545647155e+04      -2.932283036954e+04       4.419283202582e-03      -2.929087574449e+04       8.913504379905e-03       8.913504379905e-03 
       4.271180192472e-01       4.105415966399e-03      -2.964600047996e+04      -2.979724762035e+04       4.181616548312e-03      -2.976454058017e+04       8.434133903835e-03       8.434133903835e-03 
       4.428939855088e-01       3.887721877934e-03      -3.018751353273e+04      -3.033998885019e+04       3.959882045342e-03      -3.030692747059e+04       7.986921947004e-03       7.986921947004e-03 
       4.595892737976e-01       3.677914964685e-03      -3.075270193795e+04      -3.090664200597e+04       3.746179929720e-03      -3.087318182471e+04       7.555769801007e-03       7.555769801007e-03 
       4.773364763584e-01       3.468314859180e-03      -3.128227665138e+04      -3.143995096816e+04       3.532689618338e-03      -3.140574297273e+04       7.125197750918e-03       7.125197750918e-03 
       4.963035206353e-01       3.264005326448e-03      -3.182579269896e+04      -3.198697217172e+04       3.324589380165e-03      -3.195204854012e+04       6.705653233180e-03       6.705653233180e-03 
       5.167072510520e-01       3.068832726127e-03      -3.243355562373e+04      -3.259679493258e+04       3.125792653976e-03      -3.256136566730e+04       6.304499215963e-03       6.304499215963e-03 
       5.388341022985e-01       2.875540469148e-03      -3.304928211454e+04      -3.321565797688e+04       2.928912797662e-03      -3.317955016089e+04       5.907414456678e-03       5.907414456678e-03 
       5.630727044313e-01       2.684052379705e-03      -3.368583978838e+04      -3.385591313087e+04       2.733870558501e-03      -3.381903175898e+04       5.514032422857e-03       5.514032422857e-03 
